과,국명,학명,천연기념물,멸종위기야생생물,해양보호생물,
,큰제비갈매기,Thalasseus bergii,
,뿔제비갈매기,Thalasseus bernsteini,,I,
,쇠제비갈매기,Sternula albifrons,,II,
,알류샨제비갈매기,Onychoprion aleuticus,
,에위니아제비갈매기,Onychoprion anaethetus,
,검은등제비갈매기,Onychoprion fuscatus,
,긴꼬리제비갈매기,Sterna dougallii,
,제비갈매기,Sterna hirundo,
,제비갈매기,Sterna hirundo longipennis,
,붉은발제비갈매기,Sterna hirundo minussensis,
,구레나룻제비갈매기,Chlidonias hybrida,
,흰죽지제비갈매기,Chlidonias leucopterus,
,검은제비갈매기,Chlidonias niger,
도둑갈매기과,큰도둑갈매기,Stercorarius maccormicki,
,넓적꼬리도둑갈매기,Stercorarius pomarinus,
,북극도둑갈매기,Stercorarius parasiticus,
,긴꼬리도둑갈매기,Stercorarius longicaudus,
바다오리과,큰부리바다오리,Uria lomvia,
,바다오리,Uria aalge,,,해,
,흰눈썹바다오리,Cepphus carbo,
,알락쇠오리,Brachyramphus perdix,
,바다쇠오리,Synthliboramphus antiquus,,,해,
,뿔쇠오리,Synthliboramphus wumizusume,천,II,해,
,작은바다오리,Aethia pusilla,
,뿔바다오리,Aethia cristatella,
,흰수염바다오리,Cerorhinca monocerata,,,해,
,댕기바다오리,Fratercula cirrhata,
아비과,아비,Gavia stellata,,,해,
,큰회색머리아비,Gavia arctica,
,회색머리아비,Gavia pacifica,
,흰부리아비,Gavia adamsii,
알바트로스과,검은등알바트로스,Phoebastria immutabilis,
,알바트로스,Phoebastria albatrus,
바다제비과,바다제비,Hydrobates monorhis,,,해,
슴새과,흰배슴새,Pterodroma hypoleuca,
,슴새,Calonectris leucomelas,,,해,
,쇠부리슴새,Ardenna tenuirostris,
,붉은발슴새,Ardenna carneipes,
,검은슴새,Bulweria bulwerii,
황새과,먹황새,Ciconia nigra,천,I,
,황새,Ciconia boyciana,천,I,
군함조과,큰군함조,Fregata minor,
,군함조,Fregata ariel,
얼가니새과,푸른얼굴얼가니새,Sula dactylatra,
,붉은발얼가니새,Sula sula,
,갈색얼가니새,Sula leucogaster,
가마우지과,붉은뺨가마우지,Urile urile,
,쇠가마우지,Urile pelagicus,,,해,
,가마우지,Phalacrocorax capillatus,
,민물가마우지,Phalacrocorax carbo,
저어새과,검은머리흰따오기,Threskiornis melanocephalus,
,따오기,Nipponia nippon,천,II,
,적갈색따오기,Plegadis falcinellus,
,노랑부리저어새,Platalea leucorodia,천,II,
,저어새,Platalea minor,천,I,해,
백로과,알락해오라기,Botaurus stellaris,
,덤불해오라기,Ixobrychus sinensis,
,큰덤불해오라기,Ixobrychus eurhythmus,,II,
,열대붉은해오라기,Ixobrychus cinnamomeus,
,검은해오라기,Ixobrychus flavicollis,
,붉은해오라기,Gorsachius goisagi,,II,
,푸른눈테해오라기,Gorsachius melanolophus,
,해오라기,Nycticorax nycticorax,
,검은댕기해오라기,Butorides striata,
,흰날개해오라기,Ardeola bacchus,
,황로,Bubulcus coromandus,
,왜가리,Ardea cinerea,
,붉은왜가리,Ardea purpurea,
,중대백로,Ardea alba,
,중대백로,Ardea alba modesta,
,대백로,Ardea alba alba,
,중백로,Ardea intermedia,
,쇠백로,Egretta garzetta,
,흑로,Egretta sacra,
,노랑부리백로,Egretta eulophotes,천,I,해,
사다새과,큰사다새,Pelecanus onocrotalus,
,사다새,Pelecanus crispus,
물수리과,물수리,Pandion haliaetus,,II,
수리과,검은어깨매,Elanus caeruleus,
,수염수리,Gypaetus barbatus,
,벌매,Pernis ptilorhynchus,,II,
,검은댕기수리,Aviceda leuphotes,
,고산대머리수리,Gyps himalayensis,
,독수리,Aegypius monachus,천,II,
,관수리,Spilornis cheela,
,뿔매,Nisaetus nipalensis,
,항라머리검독수리,Clanga clanga,,II,
,흰점어깨수리,Hieraaetus pennatus,
